label,CONTRAST0,HOMOGENITY0,ENTROPY0,ENERGY0,CONTRAST45,HOMOGENITY45,ENTROPY45,ENERGY45,CONTRAST90,HOMOGENITY90,ENTROPY90,ENERGY90,CONTRAST135,HOMOGENITY135,ENTROPY135,ENERGY135
1,4.552288386,0.644010261,3.61497874,0.064522396,5.095604191,0.625877177,3.652355993,0.061951042,2.174151083,0.68892962,3.455846515,0.070649677,5.091636183,0.63020078,3.65259028,0.062271838
1,3.300935039,0.78496675,3.011607667,0.173186777,5.322400645,0.753999424,3.127793961,0.164812315,4.346579724,0.77028001,3.072446928,0.168263474,5.823919648,0.748376693,3.145396383,0.163225907
1,3.328125,0.785722535,2.971865426,0.182995099,5.372868746,0.7542167,3.086181809,0.175032099,4.362942913,0.770463439,3.032681185,0.178490497,5.8498357,0.751009986,3.097675258,0.173614876
1,3.43257874,0.786071307,2.945865724,0.189869974,5.390662781,0.755852512,3.051265621,0.182225478,4.253875492,0.77401465,2.994296221,0.186306418,5.711513423,0.754291041,3.060028283,0.181270524
1,3.374446358,0.779573452,2.947368818,0.200532739,5.000062,0.755515302,3.034622544,0.19425902,3.779896654,0.774638921,2.965557304,0.198528915,5.296670593,0.753299777,3.043882362,0.192846254
1,4.344549705,0.729661915,3.599405476,0.062661812,5.088040176,0.709835608,3.673410222,0.059359111,1.688422736,0.773348237,3.450859675,0.067544397,5.103788208,0.704719468,3.686789019,0.058579569
1,2.850578248,0.74147554,3.533399894,0.065742318,3.35488871,0.714539368,3.611564148,0.062118502,1.628813976,0.764684279,3.430378162,0.069714125,3.559365119,0.71000707,3.633937143,0.061038196
1,2.889025591,0.750068209,3.431838526,0.063843617,3.734701469,0.722424192,3.522937574,0.059247394,1.985420768,0.762605711,3.358696472,0.066323002,3.906937814,0.718468876,3.531291009,0.059065678
1,6.564037894,0.719145387,2.927442566,0.1918337,8.077376155,0.707700087,2.965870785,0.186938323,4.964628445,0.724337817,2.888036389,0.19327502,7.694587389,0.706842904,2.961773626,0.186946434
1,3.37949065,0.639606326,3.962605373,0.035787975,4.039680079,0.622960651,4.026653129,0.033957444,2.024114173,0.674647486,3.819889409,0.039135786,4.147064294,0.617958906,4.037153023,0.033428859
1,4.087721457,0.703678469,3.481742825,0.063729605,5.26523653,0.685704264,3.549728577,0.060661071,2.485605315,0.734323066,3.361148527,0.069136725,5.408580817,0.679792395,3.555290109,0.059837763
1,4.618356299,0.76865335,2.97429507,0.124966359,6.250356501,0.744849638,3.056527054,0.11811714,3.246801181,0.784302919,2.905151818,0.12993203,6.467418935,0.747940369,3.049393076,0.118773544
1,4.718996063,0.648744866,3.906590316,0.039429676,5.315580631,0.631230267,3.956293606,0.037200476,3.864419291,0.680262102,3.795214963,0.043223889,5.327794656,0.630938676,3.958087275,0.037030732
1,6.623708169,0.686279207,3.919277623,0.041495063,9.964597929,0.628057742,4.080674209,0.0369124,6.40871063,0.673195702,3.918099357,0.042021458,9.968193936,0.627130809,4.087965605,0.037216021
1,3.244525098,0.738717094,3.33527381,0.063717672,3.87004774,0.714878217,3.403443952,0.060427485,1.991941437,0.754541178,3.270352971,0.066324932,3.988839978,0.716516123,3.409248822,0.060592167
1,2.442544291,0.68004608,3.327123717,0.087363136,2.997457995,0.653838306,3.401244979,0.081465843,1.846149114,0.678349616,3.293402472,0.084586297,3.07483415,0.646190276,3.41390657,0.079576961
1,3.439653051,0.692310613,3.346712487,0.058438578,4.107942216,0.668585827,3.401976042,0.055141705,2.636872539,0.696552252,3.309778855,0.059465714,4.148800298,0.666835832,3.408147278,0.05497917
