,img_ids,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,ASM_0,ASM_45,ASM_90,ASM_135,energy_0,energy_45,energy_90,energy_135,label
1144,COVID-146.png,21.635862068965526,20.538609495214857,13.329563218390815,21.177472321261032,0.9159844214476968,0.9244564877377125,0.9597986985084892,0.9195449602194379,0.11538578123882583,0.10945904667434711,0.15682603908601983,0.11231635387837138,1010.8425747126447,889.1246481516231,472.1517241379314,946.4617658097203,0.002298099088386845,0.0019108225752433015,0.00213913912009513,0.0017715885994488167,0.04793849276298583,0.04371295660606019,0.046250828317935345,0.042090243518525965,covid
1145,COVID-170.png,22.412183908045982,20.566710452242447,12.591310344827589,21.584959654719462,0.9004157053768259,0.9173962332643627,0.9652543596176635,0.9118286662934755,0.10473846572967305,0.10569200036311875,0.12542756883665412,0.08179757619158555,1090.664413793104,887.4854569337587,383.8816091954023,947.8276881215993,0.0006969723873695337,0.0005555768841457472,0.0007844502576298062,0.0005998324861036288,0.026400234608229028,0.023570678482931866,0.028008039160744656,0.024491477826044487,covid
1146,COVID-3265.png,26.694850574712643,27.918136610996413,18.725517241379325,28.16461812722838,0.8825239756060671,0.8732114791080541,0.929059587835996,0.8713353012648466,0.11383435962432503,0.07962408598697927,0.12408110098390199,0.08066012437393341,1411.8178850574723,1506.1412553950067,838.8737471264375,1528.3427941452428,0.002025194345356059,0.0013843474055312058,0.0015342666138195283,0.0014206040525538174,0.04500215934103673,0.03720681934177129,0.03916971551874647,0.03769090145583968,covid
1147,COVID-2478.png,19.426942528735637,17.95665227997749,12.145517241379308,18.939622818540077,0.9386515081375968,0.9425079467649009,0.9651509876982957,0.9369958484696992,0.07284139212712433,0.07660525615216324,0.13256868029612937,0.0707977208419088,658.0498390804602,610.8573841246014,376.06000000000006,670.3016982548323,0.0003344410093803676,0.00034773940752175474,0.00044748843968820203,0.00033184823841730194,0.018287728382179336,0.018647772186557696,0.02115392256032441,0.018216702182812947,covid
1148,COVID-2099.png,24.705057471264368,24.041095890410954,16.03802298850575,24.479968099080505,0.8840705607113096,0.8925428470786673,0.9454930803503769,0.8884121576112125,0.07914393408439417,0.06560756305978775,0.1139274006953246,0.07047412063933627,1228.2102528735634,1111.8434040157636,570.0308505747133,1154.9109119909929,0.00025774606949398906,0.00023161645821654945,0.0003436829171621089,0.00023501345558691475,0.016054471946905916,0.015218950627968719,0.01853868703986636,0.01533014858332804,covid
1149,COVID-2654.png,29.10363218390806,28.059861137173968,15.646896551724138,29.035184837680603,0.8274114795487693,0.8454230102377077,0.9433223400482665,0.8375482364155417,0.1082457420417972,0.08266244699622949,0.14878724144961622,0.08437349476703207,1832.429241379311,1610.9285044098337,593.7725057471266,1692.1426158753998,0.0008404872506275621,0.0008227248124276442,0.0015140969745012552,0.0009139067363362408,0.02899115814567542,0.028683179956686188,0.0389113990303774,0.030230890432407724,covid
1150,COVID-2047.png,19.206988505747123,20.412929255019712,16.400137931034482,23.169544004503678,0.9259285323825428,0.904034628017727,0.91788561353225,0.8920077159503494,0.09381269470247347,0.09188322484117467,0.0898769815848276,0.06030695811479498,809.72708045977,1030.2950835053482,882.6471264367822,1159.8495027209613,0.0002914350640771569,0.00026170965131255835,0.0002793637204386314,0.0002064377420418399,0.017071469300477825,0.01617744266911672,0.0167141772288866,0.014367941468486009,covid
1151,COVID-1441.png,28.632137931034514,31.090823794332895,27.074574712643678,31.330878213548498,0.8467420750804082,0.8290649550692315,0.867693691630944,0.8302294164478448,0.07813565828516636,0.05207638238776673,0.06230272635708313,0.053275868686798386,1684.4131954022998,1820.1734847063242,1393.2417471264378,1809.7548789641583,0.00041973734971594717,0.000369423188922159,0.0004376472453428459,0.0003642677199619509,0.020487492518996734,0.019220384723573018,0.02092002020416916,0.019085798908139814,covid
1152,COVID-1891.png,31.016643678160946,33.501782698442476,27.921471264367824,31.3202289360105,0.8072448046907624,0.7946237696407228,0.859584465713603,0.8142466717602608,0.06757746481612052,0.054790093289631046,0.06848458993074026,0.0636806668657649,2061.6369655172425,2182.695346218803,1513.9877701149442,1974.9468005254262,0.0002664891002774479,0.00023675872213352924,0.000271639582507597,0.00026525190415842997,0.016324493875077655,0.015386965982074868,0.01648149212018126,0.016286555932990558,covid
1153,COVID-1240.png,32.10413793103449,30.283824357290314,20.619264367816108,31.18666729217488,0.8144245756967814,0.8299097752732393,0.9037103463071889,0.8215112056470193,0.0689491751599654,0.07556504310409469,0.0933713964893078,0.06687319934028786,2006.5403678160906,1793.572809157441,1014.2590804597705,1882.0340120097599,0.00024393605496102533,0.0002574961421026043,0.00034195904346677263,0.00024151143727528762,0.015618452386873205,0.016046686327793793,0.018492134637914916,0.015540638251863649,covid
1154,COVID-1449.png,28.939264367816094,28.947785700881976,18.062022988505756,28.532510790016882,0.8317706629191135,0.8361780611878092,0.934831407045434,0.8416344761161094,0.0742836905889379,0.0601549720159253,0.09730078608297411,0.059354632437645785,1792.0871264367834,1717.9545411897168,694.9462528735637,1661.5008913492218,0.00024402061038446317,0.0001908623935545867,0.00027286246531906466,0.0001902967775363269,0.01562115906021263,0.013815295637610752,0.016518549128754154,0.01379480980428244,covid
1155,COVID-2733.png,24.3007816091954,24.22663726778007,15.60091954022989,22.063332707825115,0.8940123067935936,0.8928869816580083,0.9471442308054542,0.9097410800233702,0.06476112135215535,0.05987743203812799,0.10991758143469066,0.07076780722258531,1141.3659770114944,1137.972931131545,569.2000919540232,958.209326327642,0.00023303791782269798,0.00021935227431868056,0.0002944663760073987,0.00024288476177098455,0.0152655795115252,0.014810546050658652,0.01716002261092329,0.015584760561875327,covid
1156,COVID-618.png,18.67011494252875,18.096594107712516,11.603034482758625,17.3540063801839,0.9301122536417263,0.9332744362214055,0.9692541113681745,0.9344038073059646,0.18490866867095884,0.16941336001206708,0.16536089910082027,0.1828251462844243,833.934482758621,776.0208763370232,353.1150344827588,762.2921748920993,0.005292646320517907,0.0041919662823482595,0.004055499009116137,0.004296056136012084,0.07275057608375282,0.06474539583899584,0.06368279994720817,0.06554430666360034,covid
